WoS Subject,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
Acoustics,19,6,0,3,5,8,41,53,16,3,100
Agriculture,49,13,2,10,4,7,85,42,30,9,88
Allergy,8,2,0,0,2,1,13,38,7,0,92
Anatomy & Morphology,7,0,0,0,0,2,9,22,7,0,100
Anesthesiology,37,0,0,36,2,5,80,53,25,0,85
Anthropology,25,0,1,8,5,3,42,40,13,0,71
Archaeology,21,2,0,2,2,3,30,30,14,0,76
Architecture,12,1,0,1,1,0,15,20,11,0,93
Area Studies,14,0,0,1,0,0,15,6,5,7,86
Art,5,0,0,0,0,0,5,0,4,1,100
Arts & Humanities - Other Topics,17,0,0,0,0,1,18,5,8,7,88
Asian Studies,5,0,0,0,0,0,5,0,1,3,80
Astronomy & Astrophysics,3,0,41,10,53,28,135,97,3,0,100
Audiology & Speech-Language Pathology,30,0,0,5,2,1,38,21,16,2,68
Automation & Control Systems,42,7,0,2,5,0,56,25,17,25,100
Behavioral Sciences,46,3,0,4,9,6,68,32,42,3,98
Biochemistry & Molecular Biology,135,76,0,29,31,44,315,57,96,3,88
Biodiversity & Conservation,25,14,2,0,5,8,54,53,21,4,100
Biomedical Social Sciences,25,0,0,3,4,2,34,26,20,5,100
Biophysics,42,2,0,10,10,9,73,42,38,3,98
Biotechnology & Applied Microbiology,37,17,0,4,5,5,68,45,34,0,95
Business & Economics,271,6,0,18,76,13,384,29,162,97,96
Cardiovascular System & Cardiology,88,26,5,38,9,15,181,51,67,10,93
Cell Biology,55,29,1,15,8,12,120,54,37,0,85
Chemistry,337,91,6,10,22,24,490,31,273,9,88
Classics,1,0,0,0,0,0,1,0,1,0,100
Communication,17,2,0,4,0,1,24,29,10,7,100
Computer Science,345,48,2,20,56,21,492,29,149,55,71
Construction & Building Technology,77,5,1,0,6,1,90,14,54,17,93
Criminology & Penology,21,0,0,1,5,1,28,25,6,14,96
Crystallography,2,4,0,3,2,5,16,87,1,1,100
Cultural Studies,10,0,0,1,0,0,11,9,5,5,100
Dance,6,0,0,0,0,0,6,0,6,0,100
Demography,4,0,0,0,0,0,4,0,2,0,50
"Dentistry, Oral Surgery & Medicine",11,0,0,1,0,0,12,8,10,1,100
Dermatology,20,0,0,3,1,3,27,25,17,2,96
Development Studies,8,0,0,0,0,0,8,0,6,0,75
Developmental Biology,16,3,0,4,4,0,27,40,15,1,100
Education & Educational Research,272,15,10,33,21,11,362,24,223,28,94
Electrochemistry,30,0,0,2,0,0,32,6,25,3,93
Emergency Medicine,30,2,0,11,5,3,51,41,26,2,96
Endocrinology & Metabolism,97,15,0,32,19,23,186,47,87,2,95
Energy & Fuels,95,12,0,3,6,1,117,18,84,5,94
Engineering,689,96,1,22,79,25,912,24,476,156,93
Entomology,31,12,0,1,1,0,45,31,19,0,73
Environmental Sciences & Ecology,315,129,3,32,45,48,572,44,273,28,97
Ethnic Studies,13,0,7,1,0,1,22,40,4,3,72
Evolutionary Biology,16,18,0,19,17,14,84,80,13,1,97
Family Studies,17,0,7,1,2,4,31,45,13,4,100
"Film, Radio & Television",3,0,0,0,0,0,3,0,1,1,66
Fisheries,36,3,0,1,2,7,49,26,34,2,100
Food Science & Technology,140,18,2,12,2,7,181,22,128,0,93
Forestry,9,1,1,1,1,1,14,35,7,1,92
Gastroenterology & Hepatology,52,13,0,17,6,15,103,49,42,0,90
General & Internal Medicine,97,137,44,48,41,15,382,74,40,11,87
Genetics & Heredity,42,33,3,10,21,14,123,65,39,0,97
Geochemistry & Geophysics,23,0,0,0,8,6,37,37,19,2,94
Geography,56,2,5,4,6,9,82,31,55,1,100
Geology,149,17,7,4,29,24,230,35,127,8,93
Geriatrics & Gerontology,37,10,0,6,6,6,65,43,29,8,100
Government & Law,62,0,2,0,8,4,76,18,44,14,94
Health Care Sciences & Services,69,60,2,15,23,9,178,61,47,16,96
Hematology,12,2,0,7,5,5,31,61,9,0,90
History,22,0,0,1,0,0,23,4,16,3,86
History & Philosophy of Science,9,2,3,2,1,1,18,50,4,4,94
Imaging Science & Photographic Technology,15,5,1,0,4,0,25,40,5,1,64
Immunology,39,27,1,8,6,7,88,55,28,0,87
Infectious Diseases,20,6,2,13,2,11,54,62,7,2,79
Information Science & Library Science,17,1,0,2,8,3,31,45,7,8,93
Instruments & Instrumentation,49,18,0,3,2,11,83,40,32,17,100
Integrative & Complementary Medicine,3,4,0,0,0,1,8,62,3,0,100
International Relations,12,0,0,0,1,3,16,25,9,3,100
Legal Medicine,43,0,0,1,5,3,52,17,32,1,80
Life Sciences & Biomedicine - Other Topics,49,18,0,25,11,11,114,57,27,6,85
Linguistics,86,1,1,6,5,1,100,14,65,12,91
Literature,24,0,0,2,0,0,26,7,16,4,84
Marine & Freshwater Biology,97,26,1,4,8,9,145,33,92,2,97
Materials Science,246,37,8,5,16,11,323,23,196,20,90
Mathematical & Computational Biology,27,9,4,2,20,3,65,58,21,2,93
Mathematical Methods In Social Sciences,8,2,0,1,10,0,21,61,6,2,100
Mathematics,79,15,2,12,78,8,194,59,61,14,97
Mechanics,93,3,0,1,10,2,109,14,86,4,97
Medical Ethics,6,0,0,3,0,1,10,40,5,1,100
Medical Informatics,13,29,1,5,12,1,61,78,10,1,96
Medical Laboratory Technology,6,0,0,3,0,0,9,33,4,0,77
Metallurgy & Metallurgical Engineering,31,6,3,2,1,0,43,27,29,0,95
Meteorology & Atmospheric Sciences,24,11,5,3,9,4,56,57,17,1,89
Microbiology,25,43,0,15,7,9,99,74,22,0,96
Microscopy,1,0,0,0,0,0,1,0,1,0,100
Mineralogy,9,0,0,1,0,0,10,10,9,0,100
Mining & Mineral Processing,4,0,1,1,0,0,6,33,4,0,100
Music,9,0,0,0,0,0,9,0,5,2,77
Mycology,4,0,0,1,1,0,6,33,4,0,100
Neurosciences & Neurology,176,71,1,38,34,40,360,51,149,10,95
Nuclear Science & Technology,9,0,0,0,1,0,10,10,9,0,100
Nursing,44,1,1,2,5,6,59,25,40,2,96
Nutrition & Dietetics,86,79,2,21,17,16,221,61,66,8,94
Obstetrics & Gynecology,86,7,0,24,13,11,141,39,75,1,92
Oceanography,51,6,1,1,4,11,74,31,48,0,95
Oncology,59,34,0,11,11,21,136,56,37,3,86
Operations Research & Management Science,30,3,0,3,6,5,47,36,26,3,97
Ophthalmology,103,20,4,15,7,7,156,33,86,8,94
Optics,32,9,0,1,27,1,70,54,11,1,71
Orthopedics,46,14,3,5,7,2,77,40,37,3,92
Otorhinolaryngology,48,2,1,7,2,3,63,23,33,2,79
Paleontology,8,0,0,0,0,3,11,27,2,0,45
Parasitology,2,2,0,0,0,0,4,50,2,0,100
Pathology,16,1,0,0,1,4,22,27,5,1,54
Pediatrics,144,12,3,23,14,19,215,33,106,7,85
Pharmacology & Pharmacy,136,37,1,21,38,17,250,45,106,1,88
Philosophy,16,1,1,0,2,0,20,20,11,3,90
Physical Geography,35,4,2,2,12,6,61,42,31,1,95
Physics,139,28,146,3,61,72,449,69,117,21,99
Physiology,52,36,0,30,10,6,134,61,48,2,98
Plant Sciences,38,19,0,5,8,10,80,52,31,0,91
Polymer Science,57,8,3,1,4,2,75,24,40,1,78
Psychiatry,95,27,4,14,24,12,176,46,66,26,98
Psychology,274,39,3,22,41,18,397,30,195,70,97
Public Administration,32,1,2,0,2,4,41,21,26,4,95
"Public, Environmental & Occupational Health",148,105,4,28,51,30,366,59,108,31,97
"Radiology, Nuclear Medicine & Medical Imaging",24,17,1,7,7,9,65,63,18,2,93
Rehabilitation,44,2,2,3,11,2,64,31,38,5,98
Religion,10,3,0,1,0,0,14,28,8,0,85
Remote Sensing,8,6,0,0,0,0,14,42,7,0,92
Reproductive Biology,27,1,0,17,5,7,57,52,26,1,100
Research & Experimental Medicine,39,43,1,2,9,9,103,62,29,1,91
Respiratory System,22,9,0,14,11,11,67,67,14,1,89
Rheumatology,34,13,0,6,4,1,58,41,30,2,96
Robotics,25,8,0,2,2,0,37,32,17,2,83
Science & Technology - Other Topics,143,272,1,27,19,26,488,70,107,10,94
Social Issues,13,0,0,3,0,1,17,23,10,3,100
Social Sciences - Other Topics,85,24,2,7,6,11,135,37,55,28,98
Social Work,32,12,0,4,6,7,61,47,24,8,100
Sociology,25,0,7,4,0,1,37,32,8,17,100
Spectroscopy,10,0,0,0,0,0,10,0,9,1,100
Sport Sciences,46,6,0,13,6,6,77,40,34,7,93
Substance Abuse,38,4,0,3,5,5,55,30,34,1,94
Surgery,159,8,0,32,12,7,218,27,130,9,90
Telecommunications,35,38,0,5,1,3,82,57,16,9,87
Theater,13,0,0,0,0,0,13,0,10,1,84
Thermodynamics,29,1,0,0,1,0,31,6,29,0,100
Toxicology,26,2,2,2,0,1,33,21,25,0,96
Transplantation,7,1,0,2,1,0,11,36,6,0,90
Transportation,44,1,1,3,7,4,60,26,27,12,91
Tropical Medicine,1,1,0,0,0,0,2,50,1,0,100
Urban Studies,33,1,1,1,3,0,39,15,24,9,100
Urology & Nephrology,24,5,0,4,4,5,42,42,23,0,97
Veterinary Sciences,9,4,0,1,2,1,17,47,9,0,100
Virology,2,2,2,1,0,3,10,80,2,0,100
Water Resources,58,8,3,2,5,7,83,30,47,8,96
Women's Studies,18,0,0,0,0,0,18,100,0,0,100
Zoology,56,2,0,5,6,8,77,27,29,10,77
