Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Department of Soil & Physical Sciences, Faculty of Agriculture & Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Soil Science, Faculty of Agricultural and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Soil Science, Faculty of Agriculture and Life Sciences, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Department of Soil Science, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Soil and Physical Sciences, Faculty of Agriculture and Life Science, Lincoln University",6,5,0,0,1,0,0,6,1,16%,5,0,100%
"Department of Soil and Physical Sciences, Faculty of Agriculture and Life Sciences, Lincoln University",9,8,0,1,0,0,0,9,1,11%,6,2,100%
"Department of Soil and Physical Sciences, Lincoln University",18,11,4,0,0,1,2,18,7,38%,10,1,100%
"Department of Tourism Sport and Society, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Tourism Sport, and Society, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Department of Tourism, Sport & Society Faculty of Environment, Society & Design P O Box 85084 Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Tourism, Sport & Society, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Department of Tourism, Sport and Society, Lincoln University",14,8,2,0,2,2,0,13,5,38%,8,0,92%
"Department of Veterinary Medicine, Guangdong Ocean University, Zhanjiang, 524088, China, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Department of Wine Food and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University",12,12,0,0,0,0,0,11,0,0%,11,0,91%
"Department of Wine and Food Science, Waite Research Institute, University of Adelaide (UA), Waite Campus, PMB 1, Glen Osmond, SA  5064, Australia, Australian Research Council Training Centre for Innovative Wine Production, UA, Waite Campus, PMB 1, Glen Osmond, SA  5064, Australia, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Wine and Food, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Wine, Food & Molecular Biosciences, Faculty of AGLS, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Department of Wine, Food & Molecular Biosciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Wine, Food Molecular Biosciences, Lincoln University",3,3,0,0,0,0,0,3,0,0%,2,0,66%
"Department of Wine, Food and Molecular Biosciences, Centre for Food Research and Innovation, Lincoln University",5,4,0,0,1,0,0,2,0,0%,2,0,40%
"Department of Wine, Food and Molecular Biosciences, Faculty of Agriculture & Life Sciences, Lincoln University",4,2,2,0,0,0,0,4,2,50%,2,0,100%
"Department of Wine, Food and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University",28,12,13,0,1,0,2,28,16,57%,12,0,100%
"Department of Wine, Food and Molecular Biosciences, Faculty of Agriculture and Life Sciences, RFH Building, PO Box 85054, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Wine, Food and Molecular Biosciences, Lincoln University",57,46,8,0,1,2,0,42,11,26%,28,3,73%
"Department of Wine, Food, and Molecular Biosciences, Faculty of Agriculture and Life Science, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Department of Wine, Food, and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Department of Wine, Food, and Molecular Biosciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Wine,Food and Molecular Biosciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department ofWine, Food, and Molecular Bioscience, Lincoln University",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Dept. of Civil Engineering, Faculty of Engineering, University of Peradeniya, Peradeniya, 20400, Sri Lanka, Dept. of Soil and Physical Sciences, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Dept. of Soil and Physical Sciences, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Division of Biology, Imperial College London, South Kensington, London, SW7 2AZ, United Kingdom, Future Farming Centre, Lincoln University",2,1,0,0,1,0,0,2,1,50%,1,0,100%
"Dryland Pasture Research, Field Research Centre, Faculty of Agriculture & Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Dryland Pasture Research, Field Research Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Dryland Pastures Research, Field Research Centre, Faculty of Agriculture & Life Sciences, Lincoln University",2,0,0,0,0,1,1,2,2,100%,0,0,100%
"Entecol Ltd, PO Box 142, Nelson, 7040, New Zealand, Department of Ecology, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Entomology Research Collection, Bio-Protection Research Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Environment Canterbury, PO Box 345, Christchurch, New Zealand, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Environment, Society and Design Unit, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Environment, Society and Design, Lincoln University",1,1,0,0,0,0,0,0,0,,0,0,0%
"Facultad de Ciencias Agrarias (Universidad Nacional del Litoral), Av. Kreder 2805 (3080), Esperanza, Santa Fe, Argentina, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Faculty of Agribusiness and Commerce, Lincoln University",32,22,6,1,1,0,2,32,10,31%,17,5,100%
"Faculty of Agribusiness and Commerce, PO Box 85084 Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Agribusiness and Trade, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Faculty of Agricultural and Life Sciences, Lincoln University",5,4,1,0,0,0,0,5,1,20%,4,0,100%
"Faculty of Agriculture & Life Science, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Faculty of Agriculture & Life Sciences, Field Research Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Agriculture & Life Sciences, Lincoln University",5,5,0,0,0,0,0,5,0,0%,5,0,100%
"Faculty of Agriculture and Life Science, Lincoln University",9,7,2,0,0,0,0,9,2,22%,4,2,88%
"Faculty of Agriculture and Life Sciences, Department of Agricultural Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Faculty of Agriculture and Life Sciences, Department of Wine Food and Molecular Biosciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Agriculture and Life Sciences, Department of Wine, Food, and Molecular Biosciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Faculty of Agriculture and Life Sciences, Lincoln University",97,52,19,0,8,7,11,97,45,46%,44,5,96%
"Faculty of Agriculture and Life Sciences, P.O. Box 85084, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Agriculture and Life Sciences, PO Box 85084, Lincoln University",3,2,1,0,0,0,0,3,1,33%,1,0,66%
"Faculty of Animal Science and Technology & Gansu Key Laboratory of Herbivorous Animal Biotechnology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Faculty of Animal Science and Technology, Gansu Key Laboratory of Herbivorous Animal Biotechnology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agricultural and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Animal Science and Technology, Gansu Key Laboratory of Herbivorous Animal Biotechnology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Faculty of Banking, University of Economics - the University of Danang, 71 Ngu Hanh Son Street, Danang, Viet Nam, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Banking, University of Economics - the University of Danang, Danang, Viet Nam, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Banking, University of Economics – the University of Danang, Danang, Viet Nam, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Biology and Psychology, University of Goettingen, Goettingen, Germany, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Faculty of Commerce, Lincoln University",2,1,1,0,0,0,0,2,1,50%,0,1,100%
"Faculty of Environment Society and Design Computing, Lincoln University",1,1,0,0,0,0,0,0,0,,0,0,0%
"Faculty of Environment, Society & Design, Lincoln University",2,1,0,0,1,0,0,2,1,50%,1,0,100%
"Faculty of Environment, Society and Design, Department of Environmental Management, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Environment, Society and Design, Lincoln University",20,13,4,0,0,0,3,16,7,43%,8,1,80%
"Faculty of Environment, Society and Design, School of Landscape Architecture, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Environment, Society, and Design, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Life Sciences, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Faculty of Resource Science and Technology, University Malaysia Sarawak, Malaysia, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Faculty of Veterinary and Agricultural Sciences, School of Agriculture and Food, University of Melbourne, Parkville, VIC  3010, Australia, Department of Wine, Food and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University",3,0,3,0,0,0,0,3,3,100%,0,0,100%
"Field Research Centre, Faculty of Agriculture & Life Sciences, Lincoln University",2,2,0,0,0,0,0,2,0,0%,1,1,100%
"Field Research Centre, Faculty of Agriculture Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Field Research Centre, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Field Research Centre, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Food Chemistry and Technology Department, Teagasc Food Research Centre, Moorepark, Fermoy, Co. Cork, Ireland, Department of Wine, Food and Molecular Biosciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Food Group, Department of Wine, Food and Molecular Biosciences, Agriculture and Life Sciences, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Food Group, Department of Wine, Food and Molecular Biosciences, Lincoln University",6,6,0,0,0,0,0,6,0,0%,6,0,100%
"Food Science, Department of Wine, Food and Molecular Biosciences, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Forage Science Group, AgResearch, Christchurch, New Zealand, Bio-Protection Research Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Forage Science, AgResearch, Lincoln Research Centre, Christchurch, New Zealand, Bio-Protection Research Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Forest Systems, Scion, Riccarton, New Zealand, BioProtection Research Centre, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Future Farming Centre, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Science, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, International Wool Research Institute, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",3,0,3,0,0,0,0,3,3,100%,0,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, International Wool Research Institute, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, Gene‐Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, International Wool Research Institute, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agricultural and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, International Wool Research Institute, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, International Wool Research Institute, Gansu Agricultural University, Lanzhou, 730070, China, Gene-marker Laboratory, Faculty of Agricultural and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gansu Key Laboratory of Herbivorous Animal Biotechnology, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Gene-Marker Laboratory, Department of Agricultural Sciences, Lincoln University",3,2,1,0,0,0,0,3,1,33%,1,1,100%
"Gene-Marker Laboratory, Faculty of Agricultural and Life Science, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Gene-Marker Laboratory, Faculty of Agricultural and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",5,3,1,0,0,1,0,5,2,40%,3,0,100%
"Global Value Chains and Trade, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Guest Editor Faculty of Agriculture and Life Sciences, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"II, Bio-Protection Research Centre, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Insect Science Solutions, 209 Lawford Road, RD 6, Christchurch, 7676, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Institute of Applied Ecology, Chinese Academy of Sciences, Shenyang, 10016, China, Agriculture and Life Sciences, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"International Joint Research Laboratory on Ecological Pest Management, Fuzhou, China, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"International Wool Research Institute, College of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"International Wool Research Institute, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, Faculty of Agricultural and Life Sciences, Lincoln University",2,0,0,0,1,1,0,2,2,100%,0,0,100%
"International Wool Research Institute, Faculty of Animal Science and Technology, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",2,0,1,0,0,1,0,2,2,100%,0,0,100%
"International Wool Research Institute, Gansu Agricultural University, Lanzhou, 730070, China, Gene Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"International Wool Research Institute, Gansu Agricultural University, Lanzhou, 730070, China, Gene-Marker Laboratory, Faculty of Agriculture and Life Sciences, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"International Wool Research Institute, Gansu Agricultural University, Lanzhou, 730070, China, Gene-marker Laboratory, Faculty of Agricultural and Life Sciences, Lincoln University",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Key Laboratory of East China Urban Agriculture, Ministry of Agriculture, Shandong Institute of Agricultural Sustainable Development, Shandong Academy of Agricultural Sciences, Jinan, 250100, China, Department of Soil and Physical Sciences, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Land Management and Systems, Faculty of Agribusiness and Commerce, Lincoln University",3,1,1,0,0,0,1,3,2,66%,1,0,100%
"Land Research Services/ARGOS, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
